sv Word	English verb	P(w->t)	P(w->a)	P(a->t)	E(t)	E(a)	V(t)	V(a)	S(t)	S(a)
förmånsursprungsregler	forward	1	1	0	1	1	1	1	0	1
följdverkningar	begin	1	1	1	1	0	1	1	0	1
chockerade	shock	0	0	0	-1	0	1	-1	-1	0
flygbolagens	air	0	0	0	-1	0	1	0	0	0
procedurskäl	reason	0	0	0	0	0	0	1	0	1
uppdaterades	update	0	1	0	1	1	1	1	0	1
sammanfattad	add	1	1	1	1	1	0	1	0	1
sysselsättningssyfte	reside	0	1	1	1	1	1	1	0	1
brukarna	question	0	0	1	1	1	1	1	0	1
ansvarsfrågan	issue	0	0	0	1	0	1	1	0	0
överblickbar	feel	1	1	1	0	0	0	1	0	1
slutrapport	report	0	0	-1	1	0	0	1	0	-1
tvärvillkoren	cross	0	1	1	0	1	1	1	0	1
långfärdsbussar	coach	1	1	1	1	1	1	1	0	1
utsagan	link	1	1	1	1	1	1	1	0	0
misstroende	censure	0	-1	-1	-1	0	1	1	-1	1
Barcelonaförklaringen	cry	0	1	0	0	-1	0	1	0	-1
arkivera	file	0	1	0	0	0	1	1	0	0
protektionismen	be	0	1	0	0	0	0	1	0	1
prioritera	give	0	1	1	0	0	0	1	0	1
vaksamt	close	0	1	1	0	0	1	1	0	1
anskaffningarna	be	0	1	0	0	0	0	1	0	1
oss	be	0	1	0	0	0	0	1	0	1
fraktionsordförandena	have	1	1	1	0	0	1	1	0	1
bantning	down	0	0	0	0	0	0	1	0	0
paketpriset	price	0	0	1	1	1	0	1	0	1
BNP	term	1	1	0	1	1	1	0	0	0
grundprincipen	underlie	0	0	0	0	0	1	1	0	0
kontrollförordning	control	1	0	1	0	1	1	1	0	1
vagnparken	roll	0	0	1	0	0	0	1	0	1
EMU-kriterierna	be	0	1	0	0	0	0	1	0	1
krigstid	time	0	0	1	0	1	0	1	0	1
kvinnovåld	combat	0	0	0	-1	0	1	1	0	0
gelatin	contain	0	0	0	0	0	0	1	0	0
samarbetsstrategi	approach	0	1	1	0	1	1	1	0	1
utlandet	force	0	0	0	-1	0	1	0	-1	0
vattenkvalitetsområdet	go	0	0	0	0	0	0	1	0	0
alkoholpåverkan	do	1	1	1	0	0	1	1	0	1
företagsledningarna	desire	1	1	1	1	0	1	1	1	1
välförsedd	have	1	1	1	0	0	1	1	0	1
vagnparker	carry	0	1	1	0	0	1	1	0	0
grov	major	0	1	0	0	1	1	1	0	1
designen	design	1	1	1	1	1	1	1	0	1
Delorspaket	package	0	0	0	1	1	0	1	0	1
oljeprisökningarna	price	0	0	1	1	1	0	1	0	1
livsmedelspriserna	price	0	0	1	1	1	0	1	0	1
matbrist	lack	0	0	0	0	-1	1	1	0	-1
valutarisken	risk	-1	0	-1	0	-1	0	1	0	-1
terroriseringen	be	0	1	0	0	0	0	1	0	1
förekommit	be	0	1	0	0	0	0	1	0	1
underton	note	0	0	0	0	0	0	1	0	0
Kommissionsledamot	receive	1	1	1	0	1	1	1	0	1
terrorismens	commemorate	1	1	1	1	1	1	1	1	0
sysselsättningspolitik	promote	1	1	1	1	1	1	1	0	1
gripbar	give	0	1	1	0	0	0	1	0	1
gevären	gun	0	0	0	0	0	1	1	-1	0
stimulansen	be	0	1	0	0	0	0	1	0	1
valutarisker	risk	-1	0	-1	0	-1	0	1	0	-1
investeringars	down	0	0	0	0	0	0	1	0	0
strukturprojekt	project	0	0	1	1	1	1	1	0	1
gårdagen	repeat	0	1	0	1	0	1	1	0	0
iriskan	move	0	0	0	1	0	1	1	0	0
självmant	own	0	1	1	1	1	1	1	0	1
smörfett	follow	0	0	1	1	1	1	1	0	1
industriutskottet	major	0	1	0	0	1	1	1	0	1
oliktänkande	dissent	0	0	-1	-1	0	1	1	0	1
Världshandelsorganisationen	talk	0	0	0	0	0	1	1	0	0
Tindemansbetänkandet	report	0	0	-1	1	0	0	1	0	-1
inblandades	involve	0	0	0	0	1	1	1	0	0
personskador	regard	1	1	1	1	1	1	1	1	1
unionen	level	0	1	1	1	1	0	1	0	1
nödd	take	1	1	1	0	1	1	1	0	1
styrgrupp	steer	0	1	1	1	1	1	1	0	1
pensionsbestämmelser	rule	1	1	1	1	1	1	1	0	1
varnande	warn	0	1	0	1	0	1	1	0	0
Färm-betänkandet	report	0	0	-1	1	0	0	1	0	-1
fruktsamma	bear	0	0	0	0	1	1	1	0	0
koncentrerats	concentrate	0	0	0	0	1	1	0	0	0
arbetsvärldens	work	1	1	1	1	0	1	1	0	1
energiforskningen	research	0	-1	1	1	1	1	1	0	1
aktiehandeln	trade	0	1	1	1	1	1	1	0	1
täckt	cover	0	0	0	1	1	1	1	0	0
problemämnen	filter	0	0	0	1	1	1	1	0	0
verksam	operate	1	1	1	1	1	1	1	0	1
övergångsreglerna	rule	1	1	1	1	1	1	1	0	1
landskap	force	0	0	0	-1	0	1	0	-1	0
familjeförsörjare	head	1	0	1	1	1	1	1	0	1
identifieras	identify	0	0	-1	0	0	1	1	0	0
överskådlig	near	0	1	0	0	0	0	1	0	0
undanflykten	excuse	0	0	0	0	0	0	1	0	1
identifierat	identify	0	0	-1	0	0	1	1	0	0
Reach-processen	process	0	0	1	1	1	1	1	0	0
klimatförändringsprogrammet	change	0	1	0	1	0	1	1	0	1
undanflykter	excuse	0	0	0	0	0	0	1	0	1
gruppundantagssystemet	block	0	0	-1	-1	0	1	1	0	-1
repa	take	1	1	1	0	1	1	1	0	1
slavhandel	trade	0	1	1	1	1	1	1	0	1
testcyklerna	test	0	1	1	0	1	1	1	0	1
avlägsnande	remove	-1	1	-1	-1	1	0	1	-1	0
konstruktiv	structure	1	1	0	1	1	1	1	0	0
försitta	miss	1	1	0	0	-1	1	1	0	-1
identifierad	identify	0	0	-1	0	0	1	1	0	0
momsbedrägeri	tax	0	0	1	1	1	0	1	0	1
vägtransportmarknaden	market	0	0	0	1	1	1	1	0	1
rationalisering	streamline	0	1	0	1	1	1	1	0	1
länka	link	1	1	1	1	1	1	1	0	0
kvalitetsträning	secure	0	0	1	1	1	1	1	0	1
bränsleutgifter	fuel	0	0	0	1	1	1	1	0	1
ohövlig	respect	1	1	1	1	0	1	1	1	1
alarmklockan	sound	1	0	0	1	0	1	0	0	0
förbättringar	improve	1	1	1	1	0	1	1	0	1
ikraft	force	0	0	0	-1	0	1	0	-1	0
språkligt	term	1	1	0	1	1	1	0	0	0
oregelmässigheter	represent	0	1	0	1	0	1	1	0	0
fungerade	work	1	1	1	1	0	1	1	0	1
möjliggjort	make	0	0	0	1	0	0	1	0	0
utgiftssidan	side	0	0	0	0	1	0	1	0	0
jordbruksimport	import	0	0	0	1	1	1	1	0	1
vallöften	promise	1	1	1	1	1	1	1	0	1
språkliga	increase	1	1	0	1	0	1	1	0	1
Balkankrisen	load	0	0	0	1	1	0	1	0	0
bromsats	slow	0	-1	0	-1	0	1	-1	0	0
privilegieringen	cause	-1	-1	0	0	0	-1	0	0	0
arbetsrätten	code	1	1	0	1	0	1	1	0	0
saxfällorna	have	1	1	1	0	0	1	1	0	1
finansieringsfrågorna	issue	0	0	0	1	0	1	1	0	0
14.3	provide	1	1	1	1	1	1	1	0	1
14.2	vote	0	0	0	1	1	1	1	0	0
1963	back	1	1	1	1	1	1	1	1	1
resignation	resign	0	0	0	0	-1	1	1	0	-1
utbildningsmål	target	0	0	0	1	0	0	0	0	0
varuhandel	trade	0	1	1	1	1	1	1	0	1
villkoret	subject	0	0	1	1	0	1	1	0	1
transportanvändning	transport	0	1	0	1	1	1	1	0	0
borgenärer	claim	1	1	1	0	1	1	1	0	1
Grechbetänkandet	report	0	0	-1	1	0	0	1	0	-1
djurriket	do	1	1	1	0	0	1	1	0	1
svindleri	tackle	0	1	-1	0	0	0	1	0	1
framgick	emerge	1	1	0	0	0	1	1	0	1
temperaturförhöjning	dry	1	0	0	0	0	1	1	0	0
företagssäten	register	1	0	1	0	1	1	1	0	0
utgiftskategorier	give	0	1	1	0	0	0	1	0	1
gjuta	breathe	0	1	0	0	1	1	1	0	1
tillgångspriser	price	0	0	1	1	1	0	1	0	1
nyckelställning	position	0	0	0	1	0	1	1	0	0
eskalering	level	0	1	1	1	1	0	1	0	1
barnaglädje	be	0	1	0	0	0	0	1	0	1
finputsningen	touch	1	0	1	0	0	1	1	0	1
marknadstillsynsmyndigheter	market	0	0	0	1	1	1	1	0	1
konventmodellen	model	0	0	0	1	1	1	1	0	1
Dayton-avtalet	sign	0	0	1	1	1	1	1	0	1
budgetbesparingar	make	0	0	0	1	0	0	1	0	0
friställda	reiterate	0	1	0	1	1	1	1	0	0
Cercasbetänkandet	report	0	0	-1	1	0	0	1	0	-1
spridda	scatter	0	0	0	-1	0	0	1	0	0
domstolsförhandlingar	court	1	1	1	1	1	1	1	1	1
argumenterar	argue	0	0	1	1	0	1	1	0	0
inflationsrisken	risk	-1	0	-1	0	-1	0	1	0	-1
monolog	be	0	1	0	0	0	0	1	0	1
utvidgningstakten	time	0	0	1	0	1	0	1	0	1
sjösättandet	launch	1	1	1	1	1	1	1	0	1
ansökning	apply	0	1	1	1	1	1	1	0	1
visstidsarbete	work	1	1	1	1	0	1	1	0	1
gränstvist	border	0	0	0	0	0	0	0	0	0
anläggningsarbeten	work	1	1	1	1	0	1	1	0	1
oskadliggjorts	be	0	1	0	0	0	0	1	0	1
frigetts	release	0	0	0	1	0	1	1	1	1
samhällsstyrning	set	0	0	1	1	1	1	1	0	1
gränskontrolltjänstemän	border	0	0	0	0	0	0	0	0	0
Barzantibetänkandet	report	0	0	-1	1	0	0	1	0	-1
känslorna	feel	1	1	1	0	0	0	1	0	1
råvaruhandel	trade	0	1	1	1	1	1	1	0	1
förordning	establish	0	0	1	1	1	1	1	1	1
multipelbomber	cluster	0	0	0	1	0	0	-1	0	0
monster	make	0	0	0	1	0	0	1	0	0
svek	betray	1	-1	-1	-1	0	1	1	-1	0
beskattningsmodellen	do	1	1	1	0	0	1	1	0	1
återupprättas	be	0	1	0	0	0	0	1	0	1
återupprättar	restore	1	1	1	1	0	1	1	1	1
genomförandeplanen	plan	1	1	1	1	1	1	1	0	1
marknadsfrågorna	issue	0	0	0	1	0	1	1	0	0
gemenskapsvattnen	water	0	-1	0	-1	0	1	1	0	1
biståndsavtal	aid	1	1	1	1	0	1	1	1	1
unionsrätten	implement	1	1	1	1	1	1	1	0	1
medlingsförfarandet	process	0	0	1	1	1	1	1	0	0
slutansvaret	stop	0	0	0	-1	1	1	1	-1	0
anförandena	make	0	0	0	1	0	0	1	0	0
Marks	time	0	0	1	0	1	0	1	0	1
DEM-gruppen	group	0	0	0	1	1	0	1	0	1
broderfolk	engage	0	0	0	1	1	1	1	0	1
fåfäng	idle	0	0	0	-1	0	0	1	0	0
återupprättad	restore	1	1	1	1	0	1	1	1	1
omförhandlat	renegotiate	0	0	1	1	1	1	1	0	1
anledning	reason	0	0	0	0	0	0	1	0	1
omförhandlar	renegotiate	0	0	1	1	1	1	1	0	1
omförhandlas	renegotiate	0	0	1	1	1	1	1	0	1
sammansvetsade	bring	0	0	1	1	0	0	1	0	0
Hadep	raise	0	0	1	1	0	0	1	0	1
ordförandekonferensen	group	0	0	0	1	1	0	1	0	1
fenor	set	0	0	1	1	1	1	1	0	1
katastrofplatsen	make	0	0	0	1	0	0	1	0	0
brännpunkt	point	0	0	0	0	1	0	1	0	0
öde	own	0	1	1	1	1	1	1	0	1
makterna	power	1	0	0	0	0	0	1	0	1
röjningsbidrag	prevent	0	0	0	-1	0	1	1	-1	0
vänsterns	urge	1	1	1	1	0	1	1	1	1
landsbygdsfrågor	issue	0	0	0	1	0	1	1	0	0
mjöl	feed	1	1	1	1	0	1	1	1	1
nöjen	don	1	1	1	1	1	1	1	0	1
längsta	last	0	0	0	0	0	-1	-1	0	0
inreseviseringar	prevail	1	1	0	0	0	1	1	0	0
Kalifornien	make	0	0	0	1	0	0	1	0	0
faktorer	point	0	0	0	0	1	0	1	0	0
momsen	rate	0	1	0	1	0	0	1	0	0
marknadsanalytiker	be	0	1	0	0	0	0	1	0	1
makroekonomiska	last	0	0	0	0	0	-1	-1	0	0
fuskar	cheat	0	-1	0	-1	0	1	1	-1	1
fuskas	be	0	1	0	0	0	0	1	0	1
fuskat	cheat	0	-1	0	-1	0	1	1	-1	1
centralstyrd	manage	1	1	1	1	1	1	1	0	1
sammanträdestjänsten	sit	0	0	0	0	0	0	0	0	0
pirater	destroy	0	-1	-1	-1	0	1	0	-1	0
37,5	draw	0	0	1	1	1	1	0	0	0
gemenskapsmedel	fund	1	1	1	1	1	1	1	0	1
carry	carry	0	1	1	0	0	1	1	0	0
missgynnade	deprive	0	-1	0	-1	0	1	0	-1	0
EU-domstolen	rule	1	1	1	1	1	1	1	0	1
konstitutionsfördraget	draft	1	1	1	1	1	1	1	0	1
Barnier-rapporten	report	0	0	-1	1	0	0	1	0	-1
förhandlingsparter	negotiate	1	1	1	1	1	1	1	0	1
EPP-gruppen	request	0	0	1	0	1	1	1	0	1
händelsens	have	1	1	1	0	0	1	1	0	1
kärnreaktor	test	0	1	1	0	1	1	1	0	1
Lissabontoppmötet	do	1	1	1	0	0	1	1	0	1
kryphål	hole	0	0	0	-1	1	0	1	0	0
förvaltningsförfarande	do	1	1	1	0	0	1	1	0	1
omsvep	head	1	0	1	1	1	1	1	0	1
schlager	hit	0	-1	-1	-1	0	1	0	-1	0
motorstyrka	power	1	0	0	0	0	0	1	0	1
decentraliseringsprocess	process	0	0	1	1	1	1	1	0	0
hårddisken	sell	0	0	0	0	1	1	1	0	1
anseende	stand	0	1	1	0	1	0	1	0	0
förlikningsarbete	do	1	1	1	0	0	1	1	0	1
genomdrivit	enforce	0	0	1	1	0	1	1	0	1
lagstiftningsframsteg	progress	1	1	0	1	1	1	1	0	1
livsförhållandena	involve	0	0	0	0	1	1	1	0	0
ledigt	time	0	0	1	0	1	0	1	0	1
överträffades	be	0	1	0	0	0	0	1	0	1
akten	act	0	0	0	0	0	0	1	0	0
fredningstiden	rest	1	1	1	1	1	1	1	0	1
kreditverksamhet	credit	1	0	1	1	1	1	1	1	1
trepartsmötena	prefer	0	0	1	1	1	1	1	0	1
koldioxidbalans	balance	0	1	1	1	0	1	1	0	1
fredningstider	close	0	1	1	0	0	1	1	0	1
åtnjutande	benefit	1	1	0	1	1	1	1	1	1
cyklonen	strike	1	1	0	0	0	1	1	0	0
akter	act	0	0	0	0	0	0	1	0	0
Eurobarometer	survey	0	1	0	1	0	1	1	0	0
upparbetningen	process	0	0	1	1	1	1	1	0	0
skräckregim	reign	1	1	1	1	1	1	1	0	1
Boogerd-Quaak-betänkandet	report	0	0	-1	1	0	0	1	0	-1
tisdagens	report	0	0	-1	1	0	0	1	0	-1
någons	give	0	1	1	0	0	0	1	0	1
lagstiftningsnivå	level	0	1	1	1	1	0	1	0	1
medlemsländernas	involve	0	0	0	0	1	1	1	0	0
investeringssystem	function	0	1	0	1	1	1	1	0	0
drivmedel	fuel	0	0	0	1	1	1	1	0	1
flamskyddsmedel	fire	0	0	1	0	1	0	1	0	1
Kirchner	further	1	1	1	1	0	1	1	0	1
åtgärders	measure	0	1	0	0	0	0	1	0	1
fjärrvärmen	heat	0	0	0	1	0	0	-1	0	1
medlemmarna	join	1	1	1	1	1	1	1	1	1
universitetsexamen	graduate	1	1	1	1	1	1	1	0	1
venture	venture	0	0	1	0	1	1	1	0	1
vunna	bring	0	0	1	1	0	0	1	0	0
Indiens	mean	0	0	0	0	0	-1	0	0	0
kvalitetsproduktion	produce	1	1	1	1	0	1	1	0	1
figurera	be	0	1	0	0	0	0	1	0	1
EIB	lend	1	1	1	1	1	1	1	0	1
omdirigera	redirect	0	0	0	1	0	0	1	0	0
jordytan	surface	0	0	0	1	0	1	-1	0	0
harmonisering	approach	0	1	1	0	1	1	1	0	1
filtrerats	filter	0	0	0	1	1	1	1	0	0
artikulerade	state	0	1	1	1	0	1	1	0	0
medarbetarstruktur	structure	1	1	0	1	1	1	1	0	0
molekylärbiologi	give	0	1	1	0	0	0	1	0	1
kapningar	act	0	0	0	0	0	0	1	0	0
högaktning	regard	1	1	1	1	1	1	1	1	1
enes	man	0	0	0	0	0	1	1	0	1
terroristlista	list	0	0	0	1	0	0	1	0	1
tjänstemans	staff	1	1	1	1	1	1	1	0	1
nolltullar	rate	0	1	0	1	0	0	1	0	0
godskorridorer	begin	1	1	1	1	0	1	1	0	1
avtalsprocessen	process	0	0	1	1	1	1	1	0	0
diagnostiserats	diagnose	0	1	0	1	0	1	1	0	0
adeln	be	0	1	0	0	0	0	1	0	1
prisar	praise	1	1	1	1	1	1	1	1	1
krigsinsats	be	0	1	0	0	0	0	1	0	1
sinnens	mind	0	0	1	1	1	1	1	0	1
relegerats	expel	-1	0	-1	-1	0	1	1	-1	-1
gemenskapsförteckningen	list	0	0	0	1	0	0	1	0	1
inflationsmålen	target	0	0	0	1	0	0	0	0	0
gräsrotsfientliga	root	1	0	1	1	1	1	1	0	0
ogenomtänkt	think	0	0	1	1	1	1	1	1	0
vardagsbrottslighet	prevent	0	0	0	-1	0	1	1	-1	0
arbetstagare	work	1	1	1	1	0	1	1	0	1
informationslapp	package	0	0	0	1	1	0	1	0	1
spetsteknologiindustri	make	0	0	0	1	0	0	1	0	0
spannmålsmarknaden	market	0	0	0	1	1	1	1	0	1
ansträngningarna	make	0	0	0	1	0	0	1	0	0
icke-centraliserade	reason	0	0	0	0	0	0	1	0	1
efterkom	be	0	1	0	0	0	0	1	0	1
majoritetsägare	encourage	1	1	1	1	0	1	1	1	1
Sammanhållningsfond	provide	1	1	1	1	1	1	1	0	1
förhandlingsfullmakt	mandate	0	0	1	1	0	1	1	0	1
Somme	have	1	1	1	0	0	1	1	0	1
handelsvägar	route	0	0	0	0	0	1	1	0	0
pensionspoäng	credit	1	0	1	1	1	1	1	1	1
jordbrukslobbyisterna	farm	0	1	1	1	1	1	1	0	1
Dmitrij	go	0	0	0	0	0	0	1	0	0
livets	stake	0	1	1	1	1	1	1	0	1
kollektivavtal	bargain	0	0	1	0	1	1	1	0	1
avsändaren	do	1	1	1	0	0	1	1	0	1
patentkostnaderna	cost	0	-1	0	0	0	0	1	-1	0
kontaktstället	point	0	0	0	0	1	0	1	0	0
skinnet	count	0	0	1	1	1	1	1	0	1
associationsavtal	accord	1	0	0	1	0	1	1	0	1
Pasqua	reiterate	0	1	0	1	1	1	1	0	0
utvecklingshjälpen	aid	1	1	1	1	0	1	1	1	1
vattenpolitik	water	0	-1	0	-1	0	1	1	0	1
försegla	seal	0	0	0	1	0	1	0	0	0
beståndsdelarna	feature	1	1	1	1	1	1	1	1	1
förtär	be	0	1	0	0	0	0	1	0	1
återförenande	process	0	0	1	1	1	1	1	0	0
blodigaste	bloody	0	-1	0	-1	-1	0	1	-1	-1
kutymen	practice	0	0	1	1	0	0	1	0	0
visades	show	1	1	1	0	1	0	1	0	0
oeftergivligt	be	0	1	0	0	0	0	1	0	1
arbetstagar-	try	0	1	1	0	1	1	1	0	0
otaliga	time	0	0	1	0	1	0	1	0	1
förstärkningen	strengthen	1	1	0	1	0	1	1	1	0
järnvägstjänsterna	train	1	1	1	1	1	1	1	1	1
otur	be	0	1	0	0	0	0	1	0	1
österriskisk-ungerska	serve	1	1	1	1	1	1	1	0	1
allmänna	state	0	1	1	1	0	1	1	0	0
oeftergivliga	respect	1	1	1	1	0	1	1	1	1
forskningsstiftelse	research	0	-1	1	1	1	1	1	0	1
BNP-tillväxt	rate	0	1	0	1	0	0	1	0	0
fraktions	feel	1	1	1	0	0	0	1	0	1
regimernas	march	0	0	0	0	0	0	1	0	0
förverkande	order	0	0	0	-1	0	0	1	0	0
flygledning	air	0	0	0	-1	0	1	0	0	0
kandidatlistan	list	0	0	0	1	0	0	1	0	1
insinuerade	make	0	0	0	1	0	0	1	0	0
förhistoria	back	1	1	1	1	1	1	1	1	1
tränade	train	1	1	1	1	1	1	1	1	1
raserad	destroy	0	-1	-1	-1	0	1	0	-1	0
rättsstatligt	rule	1	1	1	1	1	1	1	0	1
överfölls	attack	0	-1	-1	-1	1	1	0	-1	0
företaget	undertake	1	1	1	1	0	1	1	0	1
omloppsfond	be	0	1	0	0	0	0	1	0	1
personligt	note	0	0	0	0	0	0	1	0	0
pensionsförvaltare	be	0	1	0	0	0	0	1	0	1
nödvändighet	need	0	1	1	0	0	1	1	0	0
pensionsproblematiken	picture	0	0	0	0	0	1	1	0	0
regioner	place	0	0	1	1	1	1	1	0	1
slopandet	lift	0	0	1	1	0	1	1	0	1
utvecklingsvinsterna	total	0	0	0	0	0	1	1	0	0
prioriteringssystem	appoint	1	1	1	1	1	1	1	1	1
momsbedrägerier	tax	0	0	1	1	1	0	1	0	1
rättsstatliga	rule	1	1	1	1	1	1	1	0	1
avregleringsvåg	wave	0	0	0	1	0	1	1	0	0
alfabetiseringen	be	0	1	0	0	0	0	1	0	1
myndighetsföretag	transfer	0	0	0	0	0	1	1	0	0
fattigdomsminskning	reduce	0	0	0	-1	1	1	1	-1	0
obundet	exercise	1	1	1	1	1	1	1	0	1
hänsynstagande	take	1	1	1	0	1	1	1	0	1
statsmakter	power	1	0	0	0	0	0	1	0	1
skottet	trigger	0	0	0	1	0	0	0	0	0
klättrar	climb	1	1	1	0	1	0	1	0	1
sovjet	look	0	1	1	0	0	0	1	0	1
ödesbestämdhet	be	0	1	0	0	0	0	1	0	1
nödinstrument	provide	1	1	1	1	1	1	1	0	1
gemenskapsreglerna	rule	1	1	1	1	1	1	1	0	1
inflationsmålet	target	0	0	0	1	0	0	0	0	0
historien	have	1	1	1	0	0	1	1	0	1
indrivas	be	0	1	0	0	0	0	1	0	1
kvittas	be	0	1	0	0	0	0	1	0	1
statsmakten	state	0	1	1	1	0	1	1	0	0
övergångsplaner	plan	1	1	1	1	1	1	1	0	1
miljörörelsens	provide	1	1	1	1	1	1	1	0	1
medborgaravtal	contract	-1	0	-1	0	-1	-1	1	0	-1
polisstyrkornas	police	0	0	0	-1	0	1	1	0	0
dagstidningarna	press	0	1	0	-1	0	1	1	-1	0
offrat	sacrifice	1	0	1	-1	-1	1	1	0	0
flygplatsskatter	tax	0	0	1	1	1	0	1	0	1
rådslå	be	0	1	0	0	0	0	1	0	1
parlamentarikernas	respond	0	1	0	0	0	1	1	0	1
konkurrensställningen	be	0	1	0	0	0	0	1	0	1
Conesa	be	0	1	0	0	0	0	1	0	1
bevakningsbefogenheter	control	1	0	1	0	1	1	1	0	1
underförstås	be	0	1	0	0	0	0	1	0	1
bombade	bomb	0	-1	0	-1	0	1	1	-1	0
Speroni	wish	1	1	1	1	1	1	1	1	1
landets	own	0	1	1	1	1	1	1	0	1
BNI	amount	0	0	0	1	0	0	1	0	0
entusiasmen	wane	0	0	0	0	0	0	0	0	1
faktamaterialet	need	0	1	1	0	0	1	1	0	0
banaliseras	become	0	0	0	0	0	0	1	0	0
konvergensnivån	level	0	1	1	1	1	0	1	0	1
postkontorens	post	0	1	1	1	0	1	1	0	1
Schroedters	purchase	1	1	1	1	1	1	0	0	1
dekadans	increase	1	1	0	1	0	1	1	0	1
åtnjuter	enjoy	1	1	1	1	1	1	1	1	1
halvtimmeslånga	sound	1	0	0	1	0	1	0	0	0
gagn	benefit	1	1	0	1	1	1	1	1	1
aktivisterna	involve	0	0	0	0	1	1	1	0	0
åldergränserna	age	0	0	0	-1	0	1	1	0	0
bagatell	matter	0	0	0	-1	0	1	1	0	0
analyserar	be	0	1	0	0	0	0	1	0	1
analyseras	be	0	1	0	0	0	0	1	0	1
talesättet	say	0	0	0	0	0	0	1	0	0
analyserat	be	0	1	0	0	0	0	1	0	1
920	release	0	0	0	1	0	1	1	1	1
kvalitetskött	form	1	1	1	1	1	1	1	0	1
miljösaneringen	be	0	1	0	0	0	0	1	0	1
tilläggsbistånd	aid	1	1	1	1	0	1	1	1	1
modifikation	remark	0	0	0	0	0	1	1	-1	1
kandidaten	prepare	1	1	1	1	1	1	1	1	1
narkotikamissbruket	abuse	1	-1	-1	-1	0	1	1	-1	-1
tilltvingade	have	1	1	1	0	0	1	1	0	1
jordbruksbranschen	farm	0	1	1	1	1	1	1	0	1
inkomststöd	support	1	1	1	1	0	1	1	1	1
Tacis-medlen	fund	1	1	1	1	1	1	1	0	1
Carter	process	0	0	1	1	1	1	1	0	0
motsades	have	1	1	1	0	0	1	1	0	1
box	comment	0	0	0	0	0	1	1	0	1
medarbetarna	staff	1	1	1	1	1	1	1	0	1
nekades	deny	0	0	-1	-1	0	1	1	0	-1
handlingsstark	remain	0	0	0	0	0	0	1	0	0
ytvatten	surface	0	0	0	1	0	1	-1	0	0
brottsling	control	1	0	1	0	1	1	1	0	1
småbruken	farm	0	1	1	1	1	1	1	0	1
kontrollfrågan	control	1	0	1	0	1	1	1	0	1
reserv	reserve	0	0	1	0	1	1	1	0	1
utgiven	publish	1	1	1	1	1	1	1	0	1
näringskedja	enter	1	1	1	0	1	1	1	0	1
farsartad	nominate	1	1	1	1	1	1	1	1	1
skuldsätta	go	0	0	0	0	0	0	1	0	0
lokaliseras	be	0	1	0	0	0	0	1	0	1
kvardröjande	linger	0	0	0	0	1	0	1	0	0
konsumentföreningarna	ignore	0	-1	-1	-1	0	1	0	-1	0
Eurobarometerundersökning	survey	0	1	0	1	0	1	1	0	0
rada	list	0	0	0	1	0	0	1	0	1
räd	raid	0	0	-1	-1	1	1	1	-1	1
riskhanteringskontroller	control	1	0	1	0	1	1	1	0	1
tonfiskbestånden	stock	0	0	1	1	1	1	1	0	1
resistens	level	0	1	1	1	1	0	1	0	1
resistent	ban	0	-1	-1	-1	0	1	1	0	0
macheter	push	0	0	-1	-1	0	1	1	-1	0
motverkandet	combat	0	0	0	-1	0	1	1	0	0
riskfaktorer	risk	-1	0	-1	0	-1	0	1	0	-1
tonfiskbeståndet	stock	0	0	1	1	1	1	1	0	1
transportlådorna	provide	1	1	1	1	1	1	1	0	1
Matikainen-Kallströms	thank	1	1	1	1	1	1	1	1	1
skumraskaffärer	develop	0	1	0	1	0	0	1	0	0
protektionistiska	own	0	1	1	1	1	1	1	0	1
uppgraderingen	upgrade	0	0	0	1	1	1	1	0	1
personliga	own	0	1	1	1	1	1	1	0	1
lobbyarbete	lobby	0	0	1	1	1	1	1	0	1
associationsavtalen	need	0	1	1	0	0	1	1	0	0
undertryckas	be	0	1	0	0	0	0	1	0	1
lönespiral	wage	0	1	1	1	1	1	1	0	1
checks	check	0	0	0	0	1	1	1	0	1
moraliserar	preach	1	1	1	1	1	1	1	0	1
slutord	word	0	1	0	0	0	0	1	0	0
fredagarna	omit	0	0	-1	0	1	1	1	0	0
inkomstnivå	level	0	1	1	1	1	0	1	0	1
asterisker	be	0	1	0	0	0	0	1	0	1
bondgården	farm	0	1	1	1	1	1	1	0	1
sanktionspiskan	advocate	1	1	1	1	1	1	1	0	1
ju	be	0	1	0	0	0	0	1	0	1
tur	turn	0	0	0	0	0	0	1	0	0
överblick	view	0	0	0	1	0	1	1	0	0
förvaltnings	do	1	1	1	0	0	1	1	0	1
killing	kill	0	-1	-1	-1	-1	1	0	-1	-1
följandet	state	0	1	1	1	0	1	1	0	0
glömmer	forget	-1	0	-1	-1	-1	0	1	-1	-1
jo	be	0	1	0	0	0	0	1	0	1
bearbetningsanläggningar	process	0	0	1	1	1	1	1	0	0
kampanjade	campaign	0	0	1	1	1	1	1	-1	1
generaliserade	apply	0	1	1	1	1	1	1	0	1
hormonkött	contain	0	0	0	0	0	0	1	0	0
motsättningar	conflict	0	0	0	-1	0	1	1	0	0
välgörenhet	work	1	1	1	1	0	1	1	0	1
protestdemonstration	protest	1	0	1	1	0	1	1	0	1
ministrar	back	1	1	1	1	1	1	1	1	1
profitens	profit	1	0	1	0	1	1	1	0	1
polisskydd	police	0	0	0	-1	0	1	1	0	0
