pt Word	English verb	P(w->t)	P(w->a)	P(a->t)	E(t)	E(a)	V(t)	V(a)	S(t)	S(a)
homéricas	be	0	1	0	0	0	0	1	0	1
esgotámos	have	1	1	1	0	0	1	1	0	1
Vêem	see	1	1	1	1	1	1	1	0	1
cambiar	change	0	1	0	1	0	1	1	0	1
decidem	decide	1	1	1	1	0	1	1	0	1
fica-nos	be	0	1	0	0	0	0	1	0	1
preconizou	have	1	1	1	0	0	1	1	0	1
venenosas	poison	0	-1	-1	-1	0	1	0	-1	1
sobreinvestimentos	be	0	1	0	0	0	0	1	0	1
subvencione	scrap	0	0	-1	-1	-1	0	1	0	-1
imaculada	assume	0	0	0	1	1	0	1	0	0
vinculantes	need	0	1	1	0	0	1	1	0	0
relativas	relate	0	1	1	1	0	1	1	0	1
Bordéus	fly	0	1	1	0	0	0	1	0	1
inteirar-nos	be	0	1	0	0	0	0	1	0	1
sintam	feel	1	1	1	0	0	0	1	0	1
agirei	act	0	0	0	0	0	0	1	0	0
exterminação	be	0	1	0	0	0	0	1	0	1
agirem	act	0	0	0	0	0	0	1	0	0
UNAIDS	figure	0	0	0	0	0	0	0	0	0
apresentas	present	1	1	1	1	1	1	1	0	1
Central	side	0	0	0	0	1	0	1	0	0
auto-controlo	monitor	0	1	1	1	1	0	1	0	0
clamar	call	0	0	1	1	0	1	1	0	1
cultivadas	cultivate	1	1	1	1	1	1	1	0	1
futura	further	1	1	1	1	0	1	1	0	1
ensinaram-nos	have	1	1	1	0	0	1	1	0	1
mediadoras	mediate	1	1	1	1	1	1	1	0	1
comprámos	buy	1	1	1	1	1	1	1	0	1
Aumentar	raise	0	0	1	1	0	0	1	0	1
mínima	level	0	1	1	1	1	0	1	0	1
múltiplo	time	0	0	1	0	1	0	1	0	1
388	light	0	1	1	1	0	1	1	0	1
mobilizou-se	have	1	1	1	0	0	1	1	0	1
mínimo	say	0	0	0	0	0	0	1	0	0
trazê	invite	1	1	1	1	1	1	1	1	1
contestarmos	cast	0	0	0	0	0	0	1	0	0
abordado	deal	0	0	0	0	0	0	0	0	0
consistam	consist	0	0	0	0	0	0	-1	0	0
uns	couple	0	0	0	1	0	0	1	0	0
influenciável	influence	0	0	0	0	0	1	1	0	0
radiante	delight	1	-1	1	0	0	1	1	-1	1
agradecendo-vos	thank	1	1	1	1	1	1	1	1	1
sobreposto	regard	1	1	1	1	1	1	1	1	1
una	unite	1	1	0	1	0	1	1	1	0
etários	age	0	0	0	-1	0	1	1	0	0
chamasse	call	0	0	1	1	0	1	1	0	1
une	unite	1	1	0	1	0	1	1	1	0
retóricos	word	0	1	0	0	0	0	1	0	0
atónitos	own	0	1	1	1	1	1	1	0	1
comparativas	compare	0	0	0	0	0	1	1	0	0
fretes	be	0	1	0	0	0	0	1	0	1
Estai	agree	0	0	0	0	1	1	1	0	1
PIB	average	0	1	0	0	0	1	1	0	1
Transferências	release	0	0	0	1	0	1	1	1	1
plantações	plant	1	1	1	1	1	1	1	0	1
autenticidade	enable	1	1	0	1	1	1	1	1	0
abordá-los	deal	0	0	0	0	0	0	0	0	0
monárquico	sort	0	0	0	1	0	1	1	0	0
haverão	do	1	1	1	0	0	1	1	0	1
descrever-se	describe	0	0	0	1	0	0	1	0	1
cenas	sight	0	0	0	0	1	1	1	0	0
opor-se-á	oppose	0	0	-1	-1	0	1	1	0	-1
sai	be	0	1	0	0	0	0	1	0	1
fiscalizadoras	control	1	0	1	0	1	1	1	0	1
absorção	absorb	1	1	1	1	1	1	1	0	1
motivado	motivate	1	1	0	1	1	1	1	1	0
onerosidade	be	0	1	0	0	0	0	1	0	1
Permitam	can	0	0	0	0	0	1	1	0	1
Sociedade	limit	0	0	0	-1	0	1	1	0	0
pró-activamente	make	0	0	0	1	0	0	1	0	0
percebe-se	can	0	0	0	0	0	1	1	0	1
sofreriam	suffer	-1	1	-1	0	-1	-1	1	0	-1
motivada	motivate	1	1	0	1	1	1	1	1	0
idos	back	1	1	1	1	1	1	1	1	1
recordou	remind	1	1	1	1	0	1	1	0	0
euro-mediterrânicas	be	0	1	0	0	0	0	1	0	1
grupos	group	0	0	0	1	1	0	1	0	1
rampa	point	0	0	0	0	1	0	1	0	0
discutindo-as	discuss	1	1	0	1	1	1	1	0	1
tributar-se	tax	0	0	1	1	1	0	1	0	1
refugiemos	hide	0	0	0	0	0	0	1	1	0
entrevistado	interview	0	1	1	1	1	1	1	0	1
Sociais	report	0	0	-1	1	0	0	1	0	-1
friso	stress	0	0	1	1	0	1	1	0	0
mundialmente	prevent	0	0	0	-1	0	1	1	-1	0
abordada	deal	0	0	0	0	0	0	0	0	0
processaram-se	be	0	1	0	0	0	0	1	0	1
evoluíssem	develop	0	1	0	1	0	0	1	0	0
classicamente	sort	0	0	0	1	0	1	1	0	0
frisa	stress	0	0	1	1	0	1	1	0	0
entrevistada	interview	0	1	1	1	1	1	1	0	1
tecer	make	0	0	0	1	0	0	1	0	0
expo-los	position	0	0	0	1	0	1	1	0	0
irreversível	return	0	0	0	0	0	1	1	0	0
reanime	give	0	1	1	0	0	0	1	0	1
criar-nos	pose	0	0	0	1	0	1	1	0	0
teceu	make	0	0	0	1	0	0	1	0	0
aumentando-o	increase	1	1	0	1	0	1	1	0	1
censores	censor	0	0	0	-1	0	1	1	0	1
permanências	work	1	1	1	1	0	1	1	0	1
cartéis	practice	0	0	1	1	0	0	1	0	0
esclarecer-me	explain	1	1	0	1	0	1	1	0	1
CEFTA	do	1	1	1	0	0	1	1	0	1
endossou	have	1	1	1	0	0	1	1	0	1
fundido	take	1	1	1	0	1	1	1	0	1
elogiemos	let	0	0	0	1	-1	0	1	0	0
danificadas	damage	1	-1	0	-1	0	1	-1	-1	0
tecem	be	0	1	0	0	0	0	1	0	1
escolheu	choose	1	1	1	1	1	1	1	1	1
constituem-se	confine	0	0	0	-1	0	1	0	-1	0
ressalvado	have	1	1	1	0	0	1	1	0	1
nações	state	0	1	1	1	0	1	1	0	0
retoque	term	1	1	0	1	1	1	0	0	0
incuráveis	cure	0	1	0	1	0	1	1	0	1
negando-lhes	deny	0	0	-1	-1	0	1	1	0	-1
avolumaram	have	1	1	1	0	0	1	1	0	1
rentabilidade	return	0	0	0	0	0	1	1	0	0
impressões	view	0	0	0	1	0	1	1	0	0
entenderam	have	1	1	1	0	0	1	1	0	1
ligado	link	1	1	1	1	1	1	1	0	0
apresentam	be	0	1	0	0	0	0	1	0	1
organizará	be	0	1	0	0	0	0	1	0	1
contrapoderes	respect	1	1	1	1	0	1	1	1	1
partilhá	share	1	1	1	0	1	1	1	0	1
assinássemos	sign	0	0	1	1	1	1	1	0	1
transfronteiriços	border	0	0	0	0	0	0	0	0	0
chamaram	have	1	1	1	0	0	1	1	0	1
delineados	outline	1	1	1	1	1	1	1	0	1
empenhadas	commit	-1	-1	0	0	-1	0	1	0	-1
elucidarmos	receive	1	1	1	0	1	1	1	0	1
risonho	look	0	1	1	0	0	0	1	0	1
ficamos	be	0	1	0	0	0	0	1	0	1
conteúdos	issue	0	0	0	1	0	1	1	0	0
Argelinos	be	0	1	0	0	0	0	1	0	1
Subsariana	develop	0	1	0	1	0	0	1	0	0
alimentar	feed	1	1	1	1	0	1	1	1	1
interliga	link	1	1	1	1	1	1	1	0	0
flexibilizarmos	exchange	0	0	1	0	1	0	1	0	0
Seja	do	1	1	1	0	0	1	1	0	1
remediadas	remedy	0	0	0	0	0	0	1	0	1
descurou	have	1	1	1	0	0	1	1	0	1
alternar	alternate	0	0	0	1	1	1	1	0	0
teve-se	take	1	1	1	0	1	1	1	0	1
Zelaya	come	0	1	0	0	0	0	1	0	0
compreendam	understand	1	1	1	1	1	1	1	0	1
votá	vote	0	0	0	1	1	1	1	0	0
make	make	0	0	0	1	0	0	1	0	0
Regional	aim	0	0	0	1	1	0	1	0	1
resignar-se	resign	0	0	0	0	-1	1	1	0	-1
mangas	work	1	1	1	1	0	1	1	0	1
insistentes	repeat	0	1	0	1	0	1	1	0	0
práticos	practice	0	0	1	1	0	0	1	0	0
jurisdicionais	court	1	1	1	1	1	1	1	1	1
questionaram-me	ask	0	0	0	0	1	1	1	0	0
sair-se	do	1	1	1	0	0	1	1	0	1
alternam	alternate	0	0	0	1	1	1	1	0	0
dispensava	do	1	1	1	0	0	1	1	0	1
massiça	involve	0	0	0	0	1	1	1	0	0
videira	provide	1	1	1	1	1	1	1	0	1
introdução	introduce	1	1	1	1	1	1	1	1	1
pechinchas	go	0	0	0	0	0	0	1	0	0
atendam	support	1	1	1	1	0	1	1	1	1
interminável	go	0	0	0	0	0	0	1	0	0
kit	meet	0	1	1	1	1	1	1	0	1
aparecer	appear	1	0	1	0	0	1	1	0	1
apareceu	appear	1	0	1	0	0	1	1	0	1
co-financiar	fund	1	1	1	1	1	1	1	0	1
teve-o	do	1	1	1	0	0	1	1	0	1
mestre	master	0	1	0	1	1	1	1	0	1
mobbing	harass	0	-1	-1	-1	0	1	0	-1	0
tê-lo-á	take	1	1	1	0	1	1	1	0	1
mestra	master	0	1	0	1	1	1	1	0	1
arriscam	risk	-1	0	-1	0	-1	0	1	0	-1
confrontação	conflict	0	0	0	-1	0	1	1	0	0
bioacumuláveis	accumulate	0	0	0	1	0	1	1	0	1
manifestamos	express	-1	0	0	0	1	0	1	0	0
partisse	be	0	1	0	0	0	0	1	0	1
continuar-se	continue	1	1	1	1	1	0	1	0	1
divertir-se	play	1	1	1	1	1	1	1	0	1
orientaram-se	be	0	1	0	0	0	0	1	0	1
relacionado	relate	0	1	1	1	0	1	1	0	1
arriscar	risk	-1	0	-1	0	-1	0	1	0	-1
possuímos	have	1	1	1	0	0	1	1	0	1
abracei	have	1	1	1	0	0	1	1	0	1
perguntássemos	ask	0	0	0	0	1	1	1	0	0
enterram	bury	1	1	0	0	-1	1	1	-1	-1
transforme	become	0	0	0	0	0	0	1	0	0
abracem	embrace	1	1	1	1	1	1	1	1	1
gama	range	0	0	0	0	0	0	0	0	0
investigamos	investigate	0	1	0	0	1	1	1	0	0
Wurtz	refer	1	1	1	1	0	1	1	1	1
personagem	figure	0	0	0	0	0	0	0	0	0
emular	emulate	0	1	1	1	1	1	1	0	1
dar-lhe-ei	give	0	1	1	0	0	0	1	0	1
Transnacional	feel	1	1	1	0	0	0	1	0	1
Branco	adopt	1	1	1	1	1	1	1	0	1
convidarmos	invite	1	1	1	1	1	1	1	1	1
vendo	see	1	1	1	1	1	1	1	0	1
condições	position	0	0	0	1	0	1	1	0	0
venda	sell	0	0	0	0	1	1	1	0	1
enterrar	bury	1	1	0	0	-1	1	1	-1	-1
Branca	need	0	1	1	0	0	1	1	0	0
Pérsico	come	0	1	0	0	0	0	1	0	0
polos	put	1	1	1	0	1	1	1	0	1
incúria	neglect	1	-1	-1	-1	-1	1	0	-1	-1
Koutsikou	inform	1	1	1	1	0	1	1	1	0
pertençam	belong	1	0	1	1	1	1	1	0	0
supomos	assume	0	0	0	1	1	0	1	0	0
conservemos	keep	1	1	1	0	1	1	1	1	1
pertenças	belong	1	0	1	1	1	1	1	0	0
dominava	have	1	1	1	0	0	1	1	0	1
vá-se	know	1	1	1	0	1	1	1	0	1
explodem	explode	0	0	0	-1	0	0	0	0	0
rejam	govern	1	1	1	1	1	1	1	0	1
generalizadamente	read	0	0	1	0	1	0	1	0	1
Roberta	opt	1	1	1	0	1	1	1	0	1
privilegiaram	have	1	1	1	0	0	1	1	0	1
trancada	lock	0	0	1	1	0	0	1	0	1
compararmos	compare	0	0	0	0	0	1	1	0	0
reforçar	strengthen	1	1	0	1	0	1	1	1	0
empíricos	emerge	1	1	0	0	0	1	1	0	1
classifiquem	portray	1	1	1	1	1	1	1	1	1
entregarmo-nos	shape	1	1	0	1	1	1	1	0	0
classifiquei	have	1	1	1	0	0	1	1	0	1
reflectir-se-ão	be	0	1	0	0	0	0	1	0	1
proximamente	near	0	1	0	0	0	0	1	0	0
perguntou-nos	ask	0	0	0	0	1	1	1	0	0
respondidos	answer	0	1	0	1	0	0	1	0	0
mudavam	change	0	1	0	1	0	1	1	0	1
crermos	believe	0	0	1	1	0	1	1	1	1
concorda-se	be	0	1	0	0	0	0	1	0	1
perguntome	wonder	0	1	0	0	-1	0	1	0	-1
elaborando-as	be	0	1	0	0	0	0	1	0	1
escrevia	write	1	1	1	1	1	1	1	0	1
adulterar	down	0	0	0	0	0	0	1	0	0
preferindo	prefer	0	0	1	1	1	1	1	0	1
policia	guard	1	1	1	1	0	1	1	1	1
anunciamos	announce	1	1	1	1	1	1	1	0	1
combatidos	combat	0	0	0	-1	0	1	1	0	0
bolso	own	0	1	1	1	1	1	1	0	1
adulteram	neutralize	0	0	0	-1	0	1	0	-1	0
analisá	look	0	1	1	0	0	0	1	0	1
achemos	think	0	0	1	1	1	1	1	1	0
associarão	join	1	1	1	1	1	1	1	1	1
galhardamente	strike	1	1	0	0	0	1	1	0	0
coibiu	hesitate	0	0	-1	0	-1	0	1	0	-1
coibir	prevent	0	0	0	-1	0	1	1	-1	0
convencionada	be	0	1	0	0	0	0	1	0	1
transformá	process	0	0	1	1	1	1	1	0	0
documentação	document	0	0	0	0	0	1	1	0	0
ponha	put	1	1	1	0	1	1	1	0	1
celebramos	celebrate	1	1	1	1	1	1	1	0	1
externalidades	entail	0	0	0	0	1	0	1	0	0
desnível	widen	0	0	0	0	1	0	1	0	0
conhecêssemos	be	0	1	0	0	0	0	1	0	1
conselheiro	counsel	1	1	0	1	0	1	1	0	1
neutralizar	neutralize	0	0	0	-1	0	1	0	-1	0
nervoso	excite	0	0	0	-1	0	1	0	-1	0
chamou-nos	refer	1	1	1	1	0	1	1	1	1
submetemos	have	1	1	1	0	0	1	1	0	1
trabalhe	work	1	1	1	1	0	1	1	0	1
recusou	refuse	0	0	-1	-1	0	1	1	-1	0
crueldade	become	0	0	0	0	0	0	1	0	0
aproveitá-las	make	0	0	0	1	0	0	1	0	0
colocá	have	1	1	1	0	0	1	1	0	1
repreensões	reprimand	0	-1	-1	-1	0	1	1	-1	1
anualização	make	0	0	0	1	0	0	1	0	0
veda	prohibit	0	0	-1	-1	0	0	1	0	0
rejeitando	reject	0	0	-1	-1	0	1	1	0	0
catalisador	act	0	0	0	0	0	0	1	0	0
emulação	emulate	0	1	1	1	1	1	1	0	1
neutralizam	serve	1	1	1	1	1	1	1	0	1
trabalha	work	1	1	1	1	0	1	1	0	1
habilitam	enable	1	1	0	1	1	1	1	1	0
abrilhantada	meet	0	1	1	1	1	1	1	0	1
revistos	review	0	0	0	1	0	1	1	0	0
interessam-me	be	0	1	0	0	0	0	1	0	1
traduzem	reflect	0	0	0	0	0	0	1	0	0
ganhadores	end	0	1	0	0	1	0	1	0	0
popular	root	1	0	1	1	1	1	1	0	0
acrescentarmos	add	1	1	1	1	1	0	1	0	1
necessita	need	0	1	1	0	0	1	1	0	0
sacrificar-se	sacrifice	1	0	1	-1	-1	1	1	0	0
finding	found	1	1	1	1	1	1	1	1	1
habilitar	enable	1	1	0	1	1	1	1	1	0
humanista	face	0	0	0	0	1	1	1	0	1
insidiosamente	be	0	1	0	0	0	0	1	0	1
dificílima	term	1	1	0	1	1	1	0	0	0
interessam-se	be	0	1	0	0	0	0	1	0	1
Fine	write	1	1	1	1	1	1	1	0	1
estranham	congratulate	1	1	1	1	1	1	1	1	1
implicam	involve	0	0	0	0	1	1	1	0	0
moldados	shape	1	1	0	1	1	1	1	0	0
Desportos	sport	1	0	1	1	1	1	1	0	1
comparem	compare	0	0	0	0	0	1	1	0	0
tencionasse	intend	0	0	0	1	0	1	1	0	1
favoreciam	be	0	1	0	0	0	0	1	0	1
Avgerinos	start	1	1	1	1	1	1	1	0	1
estranhas	be	0	1	0	0	0	0	1	0	1
estranhar	surprise	1	1	1	1	1	0	1	0	1
analiso	look	0	1	1	0	0	0	1	0	1
designarão	appoint	1	1	1	1	1	1	1	1	1
analisa	examine	1	1	0	1	0	1	1	0	0
reabilitada	be	0	1	0	0	0	0	1	0	1
objectivável	can	0	0	0	0	0	1	1	0	1
analise	look	0	1	1	0	0	0	1	0	1
MATTHAEUS	concern	1	-1	0	-1	0	1	1	-1	0
explicações	explain	1	1	0	1	0	1	1	0	1
semi-transformados	have	1	1	1	0	0	1	1	0	1
espelha	reflect	0	0	0	0	0	0	1	0	0
sérvias	wage	0	1	1	1	1	1	1	0	1
Genebra	issue	0	0	0	1	0	1	1	0	0
afundam	be	0	1	0	0	0	0	1	0	1
desrespeitador	do	1	1	1	0	0	1	1	0	1
desrespeitados	respect	1	1	1	1	0	1	1	1	1
baterias	down	0	0	0	0	0	0	1	0	0
fatalista	approach	0	1	1	0	1	1	1	0	1
manipuladas	manipulate	0	0	0	0	0	1	1	0	1
espelhe	reflect	0	0	0	0	0	0	1	0	0
desfigurados	blow	0	0	0	0	0	0	1	0	0
ANASE	state	0	1	1	1	0	1	1	0	0
Comercial	trade	0	1	1	1	1	1	1	0	1
TEN	include	1	1	1	1	1	1	1	1	0
revelou-nos	have	1	1	1	0	0	1	1	0	1
Desenvolvidos	develop	0	1	0	1	0	0	1	0	0
essenciais	major	0	1	0	0	1	1	1	0	1
Hökmark	write	1	1	1	1	1	1	1	0	1
rasgou	have	1	1	1	0	0	1	1	0	1
lamentará	regret	-1	0	-1	-1	-1	-1	1	0	-1
rasgos	think	0	0	1	1	1	1	1	1	0
detivéssemos	have	1	1	1	0	0	1	1	0	1
baixa	lower	-1	1	1	0	0	1	1	0	1
baixe	be	0	1	0	0	0	0	1	0	1
Sirene	be	0	1	0	0	0	0	1	0	1
poupando	save	1	1	1	1	0	1	1	1	1
decorresse	be	0	1	0	0	0	0	1	0	1
Halkis	be	0	1	0	0	0	0	1	0	1
baixo	lower	-1	1	1	0	0	1	1	0	1
abrir-lhes	open	1	1	1	1	0	0	1	0	1
impressionante	strike	1	1	0	0	0	1	1	0	0
reveladas	reveal	0	0	0	1	0	1	1	0	0
aferir-se	make	0	0	0	1	0	0	1	0	0
canalizá-las	give	0	1	1	0	0	0	1	0	1
lealdade	play	1	1	1	1	1	1	1	0	1
ficamo-nos	be	0	1	0	0	0	0	1	0	1
Referiu	mention	0	1	0	0	0	1	1	0	0
conduzir-nos-ia	prevent	0	0	0	-1	0	1	1	-1	0
economia	save	1	1	1	1	0	1	1	1	1
contribuamos	contribute	1	1	1	1	1	1	1	0	1
afectas	allocate	0	1	1	1	1	1	1	0	1
afectar	affect	1	0	0	0	0	1	1	0	0
saudei	welcome	1	1	1	1	1	1	1	1	1
afectam	affect	1	0	0	0	0	1	1	0	0
propagando	spread	-1	-1	0	1	0	-1	1	0	0
pandemónio	grip	0	0	0	0	0	1	1	0	0
benchmarks	notice	1	1	1	0	1	1	1	0	0
transformou-o	make	0	0	0	1	0	0	1	0	0
deparámo-nos	have	1	1	1	0	0	1	1	0	1
pararia	stop	0	0	0	-1	1	1	1	-1	0
burocratizar	tape	0	0	0	0	0	1	1	0	0
metropolitano	incorporate	0	0	1	1	0	1	1	0	1
propaganda	campaign	0	0	1	1	1	1	1	-1	1
QCR	contract	-1	0	-1	0	-1	-1	1	0	-1
indemnizadas	compensate	0	0	0	1	0	1	1	1	0
morram	die	0	1	0	-1	-1	1	1	0	-1
cumprimentamos	congratulate	1	1	1	1	1	1	1	1	1
recupera	restore	1	1	1	1	0	1	1	1	1
preconizei	have	1	1	1	0	0	1	1	0	1
propondes	be	0	1	0	0	0	0	1	0	1
observaram	have	1	1	1	0	0	1	1	0	1
abundante	supply	0	0	1	1	1	1	1	0	1
fluidos	break	0	0	-1	-1	1	1	1	0	1
QCA	support	1	1	1	1	0	1	1	1	1
despede	dismiss	0	0	-1	-1	0	0	1	-1	0
arriscaram	risk	-1	0	-1	0	-1	0	1	0	-1
Massacra-se	be	0	1	0	0	0	0	1	0	1
subgrupo	group	0	0	0	1	1	0	1	0	1
suspensivas	suspend	0	0	-1	-1	0	0	1	0	-1
incidam	focus	1	1	1	1	0	1	1	0	1
possuía	have	1	1	1	0	0	1	1	0	1
calote	cap	0	0	1	0	1	0	1	0	1
duvidam	doubt	0	0	-1	-1	0	1	1	0	-1
objectar	object	0	0	0	1	0	0	1	0	1
calmamente	calm	1	1	1	1	0	1	1	1	1
XXIII	field	0	0	1	1	1	1	1	0	0
confinando	be	0	1	0	0	0	0	1	0	1
produto	produce	1	1	1	1	0	1	1	0	1
curiosidade	hear	0	1	0	0	1	1	1	0	0
Andrej	account	0	0	0	0	0	1	1	0	0
produzirá	produce	1	1	1	1	0	1	1	0	1
fazendas	farm	0	1	1	1	1	1	1	0	1
agua	water	0	-1	0	-1	0	1	1	0	1
anteciparão	be	0	1	0	0	0	0	1	0	1
accionem	employ	1	1	1	1	1	1	1	0	1
rasgo	stretch	0	0	1	1	1	1	1	0	1
molestadas	be	0	1	0	0	0	0	1	0	1
rasga	tear	0	0	-1	-1	0	1	1	0	0
brindou	give	0	1	1	0	0	0	1	0	1
humilham	humiliate	0	-1	-1	-1	0	1	0	-1	1
Braudel	down	0	0	0	0	0	0	1	0	0
escutem	listen	0	1	1	1	0	0	1	0	1
harmonizá-las	bring	0	0	1	1	0	0	1	0	0
russa	ban	0	-1	-1	-1	0	1	1	0	0
escutei	listen	0	1	1	1	0	0	1	0	1
atribuiu-nos	have	1	1	1	0	0	1	1	0	1
discutir-se	discuss	1	1	0	1	1	1	1	0	1
esvaziaram	empty	0	0	0	1	0	0	1	0	0
citaram	have	1	1	1	0	0	1	1	0	1
transferem	transfer	0	0	0	0	0	1	1	0	0
obras	work	1	1	1	1	0	1	1	0	1
pneumático	term	1	1	0	1	1	1	0	0	0
terei	be	0	1	0	0	0	0	1	0	1
desunidos	can	0	0	0	0	0	1	1	0	1
Drogheda	plan	1	1	1	1	1	1	1	0	1
supõe-se	be	0	1	0	0	0	0	1	0	1
temáticas	issue	0	0	0	1	0	1	1	0	0
ancorada	anchor	0	0	1	1	1	0	1	0	1
captação	capture	0	0	1	0	1	1	1	-1	1
Colom	report	0	0	-1	1	0	0	1	0	-1
esmague	smash	0	-1	-1	-1	0	1	0	-1	0
ancorado	anchor	0	0	1	1	1	0	1	0	1
despovoadas	populate	0	1	1	1	1	1	1	0	1
pouca	lack	0	0	0	0	-1	1	1	0	-1
Kinshasa	control	1	0	1	0	1	1	1	0	1
juntando-se	join	1	1	1	1	1	1	1	1	1
assegurar-se-ia	give	0	1	1	0	0	0	1	0	1
judiciais	court	1	1	1	1	1	1	1	1	1
prescindirem	do	1	1	1	0	0	1	1	0	1
verificamos	see	1	1	1	1	1	1	1	0	1
vindimas	be	0	1	0	0	0	0	1	0	1
ponderação	weight	0	-1	0	1	0	1	-1	0	0
cobra	charge	-1	0	0	-1	1	1	1	-1	1
aposição	stamp	0	0	0	0	0	1	1	0	1
batalhámos	have	1	1	1	0	0	1	1	0	1
generalizou-se	become	0	0	0	0	0	0	1	0	0
Eyadéma	be	0	1	0	0	0	0	1	0	1
custado	cost	0	-1	0	0	0	0	1	-1	0
duradouro	last	0	0	0	0	0	-1	-1	0	0
juntássemos	join	1	1	1	1	1	1	1	1	1
duradoura	last	0	0	0	0	0	-1	-1	0	0
inter-relações	protect	1	1	1	1	0	1	1	1	1
pescaria	ground	0	0	1	1	1	1	1	0	1
pouco	lack	0	0	0	0	-1	1	1	0	-1
desindustrialização	term	1	1	0	1	1	1	0	0	0
simplificou	simplify	1	1	0	1	1	1	1	0	0
Julgaram-no	do	1	1	1	0	0	1	1	0	1
parcerias	grant	0	0	1	1	0	1	1	0	1
composições	train	1	1	1	1	1	1	1	1	1
ampliem	extend	0	1	1	1	1	1	1	0	1
concentremo-nos	let	0	0	0	1	-1	0	1	0	0
ambicionemos	force	0	0	0	-1	0	1	0	-1	0
germinou	nurture	1	1	1	1	0	1	1	1	1
must	broadcast	0	0	0	1	1	1	1	0	1
perigar	endanger	1	-1	0	-1	0	1	0	0	0
surgisse	be	0	1	0	0	0	0	1	0	1
zelemos	let	0	0	0	1	-1	0	1	0	0
chamamento	call	0	0	1	1	0	1	1	0	1
Verão	see	1	1	1	1	1	1	1	0	1
Representação	comment	0	0	0	0	0	1	1	0	1
ordenação	order	0	0	0	-1	0	0	1	0	0
vantajoso	benefit	1	1	0	1	1	1	1	1	1
motivá-lo	encourage	1	1	1	1	0	1	1	1	1
organizemos	let	0	0	0	1	-1	0	1	0	0
dirijo-lhe	be	0	1	0	0	0	0	1	0	1
AMS	give	0	1	1	0	0	0	1	0	1
Diria	say	0	0	0	0	0	0	1	0	0
joio	lie	0	0	0	0	0	1	1	0	0
brinda	take	1	1	1	0	1	1	1	0	1
António	congratulate	1	1	1	1	1	1	1	1	1
absolvido	acquit	0	0	0	1	0	1	1	1	1
rodovias	end	0	1	0	0	1	0	1	0	0
brinde	drink	0	0	1	0	1	0	1	0	1
Andriessen	become	0	0	0	0	0	0	1	0	0
absolvida	acquit	0	0	0	1	0	1	1	1	1
iter	process	0	0	1	1	1	1	1	0	0
item	issue	0	0	0	1	0	1	1	0	0
bicomunitária	can	0	0	0	0	0	1	1	0	1
pisamos	be	0	1	0	0	0	0	1	0	1
exemplificar	illustrate	1	1	1	1	1	1	1	0	1
entrassem	enter	1	1	1	0	1	1	1	0	1
necessitarão	need	0	1	1	0	0	1	1	0	0
Croácia	be	0	1	0	0	0	0	1	0	1
retiraram	have	1	1	1	0	0	1	1	0	1
disse-vos	tell	1	1	0	1	0	1	1	0	0
satisfazia	meet	0	1	1	1	1	1	1	0	1
aeroportuária	air	0	0	0	-1	0	1	0	0	0
milenares	back	1	1	1	1	1	1	1	1	1
exortados	urge	1	1	1	1	0	1	1	1	1
manter-se-ia	remain	0	0	0	0	0	0	1	0	0
modalidades	form	1	1	1	1	1	1	1	0	1
desmentirá	be	0	1	0	0	0	0	1	0	1
desqualificados	disqualify	0	-1	1	1	0	1	1	-1	0
servir-nos	be	0	1	0	0	0	0	1	0	1
Shakespeare	call	0	0	1	1	0	1	1	0	1
testemunhando	witness	0	1	1	1	0	1	1	0	1
cronograma	outline	1	1	1	1	1	1	1	0	1
colocar-se-ão	be	0	1	0	0	0	0	1	0	1
tocam	affect	1	0	0	0	0	1	1	0	0
sustentaram	have	1	1	1	0	0	1	1	0	1
magras	lean	0	1	1	0	1	0	1	0	0
possibilitem	make	0	0	0	1	0	0	1	0	0
Ebner	give	0	1	1	0	0	0	1	0	1
regeneração	protect	1	1	1	1	0	1	1	1	1
apoiem-nos	support	1	1	1	1	0	1	1	1	1
pô-las	put	1	1	1	0	1	1	1	0	1
supúnhamos	think	0	0	1	1	1	1	1	1	0
reimportações	forward	1	1	0	1	1	1	1	0	1
abrangerem	cover	0	0	0	1	1	1	1	0	0
aproximá-los	bring	0	0	1	1	0	0	1	0	0
feito	do	1	1	1	0	0	1	1	0	1
apoieis	support	1	1	1	1	0	1	1	1	1
equilibrando	balance	0	1	1	1	0	1	1	0	1
opõem	oppose	0	0	-1	-1	0	1	1	0	-1
comecei	start	1	1	1	1	1	1	1	0	1
antimicrobiano	have	1	1	1	0	0	1	1	0	1
Wiechert	prevent	0	0	0	-1	0	1	1	-1	0
comecem	start	1	1	1	1	1	1	1	0	1
doseada	do	1	1	1	0	0	1	1	0	1
implantes	implant	0	0	1	1	0	1	1	0	1
apoiamo-las	support	1	1	1	1	0	1	1	1	1
implantem	do	1	1	1	0	0	1	1	0	1
reponham	restore	1	1	1	1	0	1	1	1	1
malandros	want	1	0	1	0	0	1	1	0	1
queijo	be	0	1	0	0	0	0	1	0	1
solteiras	single	0	0	0	-1	0	0	1	0	0
empolgante	excite	0	0	0	-1	0	1	0	-1	0
promissora	promise	1	1	1	1	1	1	1	0	1
opões	oppose	0	0	-1	-1	0	1	1	0	-1
sanada	resolve	-1	1	0	0	1	-1	1	0	1
posicionarem	be	0	1	0	0	0	0	1	0	1
