fr Word	English verb	P(w->t)	P(w->a)	P(a->t)	E(t)	E(a)	V(t)	V(a)	S(t)	S(a)
ma	be	0	1	0	0	0	0	1	0	1
Notenboom	exist	1	1	1	0	1	0	1	0	1
mm	set	0	0	1	1	1	1	1	0	1
navire-usine	ship	1	0	1	1	0	1	1	0	1
naîtra	be	0	1	0	0	0	0	1	0	1
joie	delight	1	-1	1	0	0	1	1	-1	1
mu	drive	1	1	0	1	0	1	1	0	1
0,56	increase	1	1	0	1	0	1	1	0	1
virtualités	prevent	0	0	0	-1	0	1	1	-1	0
déséquilibré	balance	0	1	1	1	0	1	1	0	1
mondial	place	0	0	1	1	1	1	1	0	1
my	be	0	1	0	0	0	0	1	0	1
modératrice	moderate	1	0	0	1	0	1	1	0	0
charisme	dry	1	0	0	0	0	1	1	0	0
manquerions	be	0	1	0	0	0	0	1	0	1
soutien	support	1	1	1	1	0	1	1	1	1
empêcherons	prevent	0	0	0	-1	0	1	1	-1	0
confirmeront	confirm	1	1	1	1	1	1	1	0	1
aborderai	deal	0	0	0	0	0	0	0	0	0
confirmerons	confirm	1	1	1	1	1	1	1	0	1
empêcheront	prevent	0	0	0	-1	0	1	1	-1	0
motiverait	motivate	1	1	0	1	1	1	1	1	0
préposés	give	0	1	1	0	0	0	1	0	1
résultera	result	0	0	0	0	1	0	1	0	0
glissons	slide	0	0	0	-1	0	1	0	0	0
Mingarelli	go	0	0	0	0	0	0	1	0	0
end	end	0	1	0	0	1	0	1	0	0
slalom	complete	1	1	1	1	1	1	1	0	1
constructeur	question	0	0	1	1	1	1	1	0	1
pieu	stake	0	1	1	1	1	1	1	0	1
réservez	have	1	1	1	0	0	1	1	0	1
m³	pitch	0	1	1	1	1	1	1	0	1
relevaient	be	0	1	0	0	0	0	1	0	1
viabiliser	receive	1	1	1	0	1	1	1	0	1
comptons	be	0	1	0	0	0	0	1	0	1
tremblent	be	0	1	0	0	0	0	1	0	1
préjudicielles	rule	1	1	1	1	1	1	1	0	1
indifféremment	line	0	0	0	0	1	0	1	0	1
impliquée	involve	0	0	0	0	1	1	1	0	0
clôturés	close	0	1	1	0	0	1	1	0	1
accepterez	accept	1	1	1	1	1	1	1	0	1
contenue	contain	0	0	0	0	0	0	1	0	0
A4-0140/	have	1	1	1	0	0	1	1	0	1
fusillades	shoot	0	0	0	-1	0	-1	1	-1	0
disproportions	increase	1	1	0	1	0	1	1	0	1
Drogenbos	be	0	1	0	0	0	0	1	0	1
contenus	contain	0	0	0	0	0	0	1	0	0
progrès	progress	1	1	0	1	1	1	1	0	1
pointage	be	0	1	0	0	0	0	1	0	1
impliqués	involve	0	0	0	0	1	1	1	0	0
laquelle	face	0	0	0	0	1	1	1	0	1
suer	shed	0	1	0	0	0	1	1	0	0
rêvait	dream	0	1	0	0	0	0	1	0	1
croissant	increase	1	1	0	1	0	1	1	0	1
choquée	shock	0	0	0	-1	0	1	-1	-1	0
stigmatisé	condemn	0	0	-1	-1	0	1	1	0	0
banquier	draft	1	1	1	1	1	1	1	0	1
Avent	look	0	1	1	0	0	0	1	0	1
environ	like	1	1	1	1	0	1	1	1	1
déséquilibre	balance	0	1	1	1	0	1	1	0	1
exigeraient	require	0	1	1	0	1	1	1	0	0
mû	drive	1	1	0	1	0	1	1	0	1
cachée	hide	0	0	0	0	0	0	1	1	0
Helmer	be	0	1	0	0	0	0	1	0	1
subiront	be	0	1	0	0	0	0	1	0	1
précédait	precede	0	0	0	1	0	1	1	0	0
suffisamment	give	0	1	1	0	0	0	1	0	1
Weiss	build	1	1	1	1	1	1	1	0	1
subirons	suffer	-1	1	-1	0	-1	-1	1	0	-1
approfondissement	deepen	1	1	1	1	1	1	1	0	1
cachés	hide	0	0	0	0	0	0	1	1	0
périssables	represent	0	1	0	1	0	1	1	0	0
quelquefois	time	0	0	1	0	1	0	1	0	1
Urban	draw	0	0	1	1	1	1	0	0	0
insensibles	have	1	1	1	0	0	1	1	0	1
Vivre	live	1	1	1	1	1	1	1	0	1
Harrisburg	place	0	0	1	1	1	1	1	0	1
conduirez	lead	0	1	1	1	1	0	1	0	1
renonçons	be	0	1	0	0	0	0	1	0	1
urnes	poll	0	0	1	1	1	1	1	0	1
provoqueront	cause	-1	-1	0	0	0	-1	0	0	0
bornez	do	1	1	1	0	0	1	1	0	1
fade	adopt	1	1	1	1	1	1	1	0	1
provoquerons	feed	1	1	1	1	0	1	1	1	1
contournée	circumvent	0	0	0	1	0	0	1	0	1
borner	confine	0	0	0	-1	0	1	0	-1	0
bornes	mark	0	1	0	0	0	1	1	0	0
fado	be	0	1	0	0	0	0	1	0	1
écu	single	0	0	0	-1	0	0	1	0	0
réintègrent	return	0	0	0	0	0	1	1	0	0
affaiblies	weaken	0	-1	0	-1	0	1	0	-1	0
pylônes	insure	1	1	1	1	1	1	1	0	1
surenchère	bid	0	0	1	0	1	1	1	0	1
Sturdy	report	0	0	-1	1	0	0	1	0	-1
mendiants	beg	0	0	0	1	0	1	1	0	-1
périphérie	edge	0	0	0	0	0	0	1	0	0
manuelles	process	0	0	1	1	1	1	1	0	0
assumaient	be	0	1	0	0	0	0	1	0	1
engloberaient	include	1	1	1	1	1	1	1	1	0
lente	slow	0	-1	0	-1	0	1	-1	0	0
septennat	term	1	1	0	1	1	1	0	0	0
clouer	denounce	-1	0	-1	-1	1	0	1	-1	-1
travaillistes	write	1	1	1	1	1	1	1	0	1
potentialités	exploit	0	-1	-1	-1	0	1	1	-1	0
indemniser	compensate	0	0	0	1	0	1	1	1	0
divisent	divide	0	-1	0	-1	0	1	0	-1	0
musulmans	side	0	0	0	0	1	0	1	0	0
espérerais	expect	0	1	1	1	0	0	1	0	1
plumés	dry	1	0	0	0	0	1	1	0	0
siégera	be	0	1	0	0	0	0	1	0	1
pluriannuels	map	0	0	0	0	0	1	1	0	1
exclamer	say	0	0	0	0	0	0	1	0	0
renforcerait	strengthen	1	1	0	1	0	1	1	1	0
enrichissement	enrich	1	1	1	1	1	1	1	1	1
réticent	shy	0	0	-1	-1	-1	1	0	-1	-1
notifier	notify	0	0	0	1	0	1	1	0	0
manifestait	have	1	1	1	0	0	1	1	0	1
présentations	form	1	1	1	1	1	1	1	0	1
érodées	erode	0	-1	0	-1	0	1	0	0	0
attirions	draw	0	0	1	1	1	1	0	0	0
navettes	commute	0	1	1	0	1	1	1	0	1
bonnes	sound	1	0	0	1	0	1	0	0	0
rayonner	influence	0	0	0	0	0	1	1	0	0
ennuyeuse	bore	0	0	1	1	1	1	1	0	0
rabotée	cut	0	0	0	-1	0	0	1	0	0
imbriquer	fit	0	0	1	1	0	1	1	0	1
soumissionnaire	claim	1	1	1	0	1	1	1	0	1
projections	forecast	0	0	0	0	0	0	1	0	1
engagées	commit	-1	-1	0	0	-1	0	1	0	-1
chercheraient	seek	1	1	1	1	1	1	1	0	1
dénigre	finish	1	1	1	1	1	1	1	0	1
réécouter	listen	0	1	1	1	0	0	1	0	1
alarmantes	alarm	0	0	0	-1	0	1	1	-1	0
Holm	raise	0	0	1	1	0	0	1	0	1
tombées	fall	0	0	0	-1	-1	0	1	0	-1
ressentirions	blame	-1	-1	-1	-1	-1	1	1	-1	-1
creux	empty	0	0	0	1	0	0	1	0	0
publiposté	mail	0	1	1	1	1	1	1	-1	1
gammes	range	0	0	0	0	0	0	0	0	0
arborait	fly	0	1	1	0	0	0	1	0	1
banalités	comment	0	0	0	0	0	1	1	0	1
rangeront	support	1	1	1	1	0	1	1	1	1
budgétées	do	1	1	1	0	0	1	1	0	1
amplifieront	increase	1	1	0	1	0	1	1	0	1
gardienne	act	0	0	0	0	0	0	1	0	0
publication	publish	1	1	1	1	1	1	1	0	1
MEDA	belong	1	0	1	1	1	1	1	0	0
inédites	develop	0	1	0	1	0	0	1	0	0
jeune	man	0	0	0	0	0	1	1	0	1
retombées	benefit	1	1	0	1	1	1	1	1	1
captation	capture	0	0	1	0	1	1	1	-1	1
habitations	house	1	1	0	1	1	1	1	1	1
exécutif	implement	1	1	1	1	1	1	1	0	1
dévastent	devastate	1	-1	0	-1	0	1	-1	-1	0
commença	start	1	1	1	1	1	1	1	0	1
Nicolas	say	0	0	0	0	0	0	1	0	0
Communauté	level	0	1	1	1	1	0	1	0	1
respectent	respect	1	1	1	1	0	1	1	1	1
attellerons	be	0	1	0	0	0	0	1	0	1
discourir	talk	0	0	0	0	0	1	1	0	0
attelleront	look	0	1	1	0	0	0	1	0	1
véhiculons	be	0	1	0	0	0	0	1	0	1
anti-Fatuzzo	vote	0	0	0	1	1	1	1	0	0
déclencheurs	trigger	0	0	0	1	0	0	0	0	0
sexuelle	consent	0	1	0	1	1	1	1	1	1
légumineuses	crop	0	0	1	0	1	1	1	0	1
limitatives	restrict	0	0	-1	-1	0	1	1	0	1
température	water	0	-1	0	-1	0	1	1	0	1
contreviendrions	be	0	1	0	0	0	0	1	0	1
euphorie	surround	0	0	-1	0	1	1	1	0	1
1500	control	1	0	1	0	1	1	1	0	1
acclamée	welcome	1	1	1	1	1	1	1	1	1
dichotomie	split	1	0	1	-1	0	1	1	-1	1
servi	serve	1	1	1	1	1	1	1	0	1
Laissons	do	1	1	1	0	0	1	1	0	1
souligné	point	0	0	0	0	1	0	1	0	0
bidon	rely	0	0	1	0	1	0	1	0	1
serve	be	0	1	0	0	0	0	1	0	1
tampon	stamp	0	0	0	0	0	1	1	0	1
naturelle	occur	1	1	0	1	0	1	0	1	0
soussigné	be	0	1	0	0	0	0	1	0	1
encaissements	amount	0	0	0	1	0	0	1	0	0
politiquement	term	1	1	0	1	1	1	0	0	0
examinée	examine	1	1	0	1	0	1	1	0	0
dérégulant	preserve	1	1	1	1	0	1	1	0	1
pancarte	sign	0	0	1	1	1	1	1	0	1
intègrera	incorporate	0	0	1	1	0	1	1	0	1
apprendrai	be	0	1	0	0	0	0	1	0	1
similarités	do	1	1	1	0	0	1	1	0	1
franchissement	cross	0	1	1	0	1	1	1	0	1
Japon	lag	0	-1	0	-1	0	0	0	0	0
chapelet	wave	0	0	0	1	0	1	1	0	0
couvriront	cover	0	0	0	1	1	1	1	0	0
couvrirons	be	0	1	0	0	0	0	1	0	1
impressionnants	disturb	1	-1	0	-1	0	1	0	-1	0
trouvions	be	0	1	0	0	0	0	1	0	1
impriment	print	1	0	1	0	1	0	1	0	1
participerez	be	0	1	0	0	0	0	1	0	1
invalidés	invalidate	0	0	0	-1	0	1	1	0	0
précisez	specify	0	0	0	1	0	1	1	0	1
impressionnante	move	0	0	0	1	0	1	1	0	0
espère	hope	1	1	1	1	0	0	1	0	1
invalidée	invalidate	0	0	0	-1	0	1	1	0	0
préciser	make	0	0	0	1	0	0	1	0	0
Nicolaï	say	0	0	0	0	0	0	1	0	0
déroulée	take	1	1	1	0	1	1	1	0	1
IDA	work	1	1	1	1	0	1	1	0	1
logomachie	be	0	1	0	0	0	0	1	0	1
orienter	guide	0	0	1	1	1	1	1	1	1
Jasmine	head	1	0	1	1	1	1	1	0	1
génésiaque	ring	0	1	0	1	0	-1	1	0	0
voyou	head	1	0	1	1	1	1	1	0	1
impitoyable	devastate	1	-1	0	-1	0	1	-1	-1	0
vice-versa	back	1	1	1	1	1	1	1	1	1
mʼ	be	0	1	0	0	0	0	1	0	1
clefs	recognize	0	1	0	0	0	1	1	0	0
capturons	represent	0	1	0	1	0	1	1	0	0
cois	constitute	1	1	1	1	1	1	1	1	1
pluriannuel	cover	0	0	0	1	1	1	1	0	0
agitant	wave	0	0	0	1	0	1	1	0	0
totalement	complete	1	1	1	1	1	1	1	0	1
détresses	need	0	1	1	0	0	1	1	0	0
Ceyhun	control	1	0	1	0	1	1	1	0	1
émission	issue	0	0	0	1	0	1	1	0	0
décapage	strip	0	0	0	-1	0	1	1	0	0
coin	corner	0	0	-1	-1	1	1	1	0	0
oreillette	station	0	0	0	0	1	0	1	0	0
mobilisent	be	0	1	0	0	0	0	1	0	1
uvrait	target	0	0	0	1	0	0	0	0	0
marchandera	time	0	0	1	0	1	0	1	0	1
révoltants	shock	0	0	0	-1	0	1	-1	-1	0
flop	account	0	0	0	0	0	1	1	0	0
cerveau	mind	0	0	1	1	1	1	1	0	1
coopère	cooperate	0	1	0	1	1	1	1	0	1
Confédération	need	0	1	1	0	0	1	1	0	0
flot	flood	0	0	0	0	1	0	1	0	0
zapatistes	force	0	0	0	-1	0	1	0	-1	0
résider	reside	0	1	1	1	1	1	1	0	1
sérieux	major	0	1	0	0	1	1	1	0	1
révoltante	disgust	0	-1	0	-1	0	1	1	-1	1
pendantes	pend	0	0	0	1	0	1	1	0	1
Valdemoro	catch	0	1	0	0	1	1	1	0	1
trouveriez	be	0	1	0	0	0	0	1	0	1
superbe	fine	0	1	1	1	1	1	1	1	1
épargnées	spare	0	1	0	1	0	1	1	0	1
endettées	be	0	1	0	0	0	0	1	0	1
baseront	base	0	1	1	1	1	1	1	0	1
aimeriez	like	1	1	1	1	0	1	1	1	1
croupir	be	0	1	0	0	0	0	1	0	1
entreraient	join	1	1	1	1	1	1	1	1	1
ESPEL	repair	0	1	0	1	1	1	1	0	1
équipées	equip	1	1	1	1	1	1	1	1	1
responsabilités	own	0	1	1	1	1	1	1	0	1
traditions	own	0	1	1	1	1	1	1	0	1
apprêtait	prepare	1	1	1	1	1	1	1	1	1
jeté	throw	0	0	0	0	0	1	1	0	1
apprêtais	go	0	0	0	0	0	0	1	0	0
suivrai	follow	0	0	1	1	1	1	1	0	1
concurrents	compete	1	1	1	1	1	1	1	0	1
allopathiques	insert	0	1	1	1	0	0	1	0	1
capacité	power	1	0	0	0	0	0	1	0	1
laissezmoi	let	0	0	0	1	-1	0	1	0	0
déplairait	be	0	1	0	0	0	0	1	0	1
superqualifiée	vote	0	0	0	1	1	1	1	0	0
concurrente	compete	1	1	1	1	1	1	1	0	1
Netherlands	operate	1	1	1	1	1	1	1	0	1
patronales	represent	0	1	0	1	0	1	1	0	0
sèche	dry	1	0	0	0	0	1	1	0	0
parlotte	shop	0	0	1	0	1	1	1	0	1
reportez	look	0	1	1	0	0	0	1	0	1
généralisées	extend	0	1	1	1	1	1	1	0	1
débrancher	switch	0	0	0	0	0	0	1	0	0
cadence	speed	1	1	0	1	0	1	1	0	0
persécutant	persecute	0	-1	-1	-1	0	1	0	-1	1
footballeurs	be	0	1	0	0	0	0	1	0	1
Quartet	map	0	0	0	0	0	1	1	0	1
atteignable	reach	0	1	0	0	0	1	1	0	0
redéployer	be	0	1	0	0	0	0	1	0	1
Vice-Président	maintain	1	0	1	1	0	1	1	0	1
houillère	mine	0	0	0	1	0	1	1	0	0
traducteurs	promote	1	1	1	1	1	1	1	0	1
adaptera	adapt	0	1	1	1	1	1	1	0	1
autoriseraient	allow	1	1	1	1	0	1	1	1	1
dégagions	account	0	0	0	0	0	1	1	0	0
évite	avoid	-1	1	-1	0	1	-1	1	0	1
inapte	be	0	1	0	0	0	0	1	0	1
équiper	equip	1	1	1	1	1	1	1	1	1
équipes	team	0	0	0	1	1	0	1	0	1
Pex	attach	0	0	1	1	1	1	1	0	0
endetté	classify	0	0	0	1	0	1	1	0	0
inspiré	inspire	1	1	1	1	1	1	1	1	1
nus	can	0	0	0	0	0	1	1	0	1
Per	request	0	0	1	0	1	1	1	0	1
prient	be	0	1	0	0	0	0	1	0	1
nul	be	0	1	0	0	0	0	1	0	1
béquille	stand	0	1	1	0	1	0	1	0	0
soleils	award	1	1	1	1	0	1	1	0	1
récemment	time	0	0	1	0	1	0	1	0	1
nui	damage	1	-1	0	-1	0	1	-1	-1	0
nud	do	1	1	1	0	0	1	1	0	1
soldant	lead	0	1	1	1	1	0	1	0	1
piégées	trap	0	0	0	-1	0	0	0	-1	0
36.	provide	1	1	1	1	1	1	1	0	1
capacity	be	0	1	0	0	0	0	1	0	1
propulsion	propel	0	1	1	1	0	1	0	-1	1
attristés	repeat	0	1	0	1	0	1	1	0	0
achèvera	complete	1	1	1	1	1	1	1	0	1
débloquera	release	0	0	0	1	0	1	1	1	1
interprofessionnel	grip	0	0	0	0	0	1	1	0	0
complicateurs	add	1	1	1	1	1	0	1	0	1
366	deal	0	0	0	0	0	0	0	0	0
Boumediene-Thiery	comment	0	0	0	0	0	1	1	0	1
suffisait	be	0	1	0	0	0	0	1	0	1
attristée	live	1	1	1	1	1	1	1	0	1
Statistique	order	0	0	0	-1	0	0	1	0	0
contrôleraient	be	0	1	0	0	0	0	1	0	1
Info	stretch	0	0	1	1	1	1	1	0	1
provoquerai	assume	0	0	0	1	1	0	1	0	0
télévisuelle	broadcast	0	0	0	1	1	1	1	0	1
dernière	last	0	0	0	0	0	-1	-1	0	0
électrochoc	shock	0	0	0	-1	0	1	-1	-1	0
imprudente	act	0	0	0	0	0	0	1	0	0
coutume	practice	0	0	1	1	0	0	1	0	0
adage	say	0	0	0	0	0	0	1	0	0
1612/	wish	1	1	1	1	1	1	1	1	1
discutera	discuss	1	1	0	1	1	1	1	0	1
aquarium	swim	0	1	1	0	1	1	1	0	1
contamination	contaminate	0	-1	0	-1	0	1	-1	0	0
dévalisons	give	0	1	1	0	0	0	1	0	1
imprudents	present	1	1	1	1	1	1	1	0	1
habituons	be	0	1	0	0	0	0	1	0	1
indistinct	perish	-1	-1	0	0	0	-1	1	0	1
fumeront	smoke	0	0	1	-1	0	1	1	0	1
itinérance	roam	0	1	1	0	0	1	1	0	1
étonnait	surprise	1	1	1	1	1	0	1	0	1
détenteur	hold	0	1	1	1	1	1	1	0	1
évité	avoid	-1	1	-1	0	1	-1	1	0	1
dysfonctionnement	malfunction	0	-1	0	0	0	0	-1	0	0
confidences	receive	1	1	1	0	1	1	1	0	1
intercaler	back	1	1	1	1	1	1	1	1	1
rogner	cut	0	0	0	-1	0	0	1	0	0
surchargé	crowd	0	0	0	-1	0	1	1	0	0
créditeur	contest	0	0	-1	0	0	1	1	0	-1
intègres	do	1	1	1	0	0	1	1	0	1
alertes	alert	0	0	0	1	0	1	1	0	0
convions	call	0	0	1	1	0	1	1	0	1
accordées	grant	0	0	1	1	0	1	1	0	1
montagnards	allege	0	0	0	0	0	1	1	-1	0
nœuds	point	0	0	0	0	1	0	1	0	0
millénaires	back	1	1	1	1	1	1	1	1	1
représentent	represent	0	1	0	1	0	1	1	0	0
parsemée	be	0	1	0	0	0	0	1	0	1
rembourseront	reimburse	1	1	1	1	1	1	1	0	1
profiteurs	free	1	1	1	1	1	1	1	1	1
reléguée	relegate	0	1	1	1	1	1	1	0	1
220/	contain	0	0	0	0	0	0	1	0	0
défis	challenge	0	1	-1	-1	1	1	1	-1	0
localisant	have	1	1	1	0	0	1	1	0	1
repérage	identify	0	0	-1	0	0	1	1	0	0
exaspèrent	anger	0	-1	0	-1	0	1	0	-1	0
défie	challenge	0	1	-1	-1	1	1	1	-1	0
déphasage	step	1	1	1	1	1	0	1	0	1
allouant	allocate	0	1	1	1	1	1	1	0	1
tablent	be	0	1	0	0	0	0	1	0	1
insérée	include	1	1	1	1	1	1	1	1	0
fusionnent	merge	0	0	0	1	1	1	1	0	1
venons	have	1	1	1	0	0	1	1	0	1
innombrables	number	0	0	0	1	0	0	1	0	0
atlantique	shoulder	0	0	0	0	0	1	1	0	1
nʼ	do	1	1	1	0	0	1	1	0	1
regretterais	regret	-1	0	-1	-1	-1	-1	1	0	-1
rétroactivité	propose	0	1	1	1	0	0	1	0	1
glisserons	further	1	1	1	1	0	1	1	0	1
Aiello	begin	1	1	1	1	0	1	1	0	1
pêchait	be	0	1	0	0	0	0	1	0	1
instantanément	respond	0	1	0	0	0	1	1	0	1
clic	click	0	0	0	1	0	0	1	0	1
coupez	cut	0	0	0	-1	0	0	1	0	0
déterminaient	determine	0	0	0	0	0	0	1	0	1
aggravera	exacerbate	0	-1	0	-1	0	0	0	-1	0
abandonnées	abandon	0	-1	-1	-1	-1	0	1	-1	-1
rangées	back	1	1	1	1	1	1	1	1	1
couper	cut	0	0	0	-1	0	0	1	0	0
coupes	cut	0	0	0	-1	0	0	1	0	0
réfugier	take	1	1	1	0	1	1	1	0	1
individuellement	own	0	1	1	1	1	1	1	0	1
recevrait	be	0	1	0	0	0	0	1	0	1
enorgueillit	pride	1	1	1	1	0	1	1	1	1
enorgueillis	pride	1	1	1	1	0	1	1	1	1
recevrais	receive	1	1	1	0	1	1	1	0	1
ramifications	reach	0	1	0	0	0	1	1	0	0
phare	lead	0	1	1	1	1	0	1	0	1
dérégulé	object	0	0	0	1	0	0	1	0	1
apporteraient	bring	0	0	1	1	0	0	1	0	0
Cramer	appear	1	0	1	0	0	1	1	0	1
dérivée	derive	1	1	1	0	1	1	1	0	1
rédaction	draw	0	0	1	1	1	1	0	0	0
déclinaison	decline	0	0	-1	-1	0	1	1	0	0
Fatuzzo's	watch	1	1	1	1	1	1	1	0	1
organiseront	be	0	1	0	0	0	0	1	0	1
organiserons	be	0	1	0	0	0	0	1	0	1
Öcalan	have	1	1	1	0	0	1	1	0	1
Lipponen	word	0	1	0	0	0	0	1	0	0
instaureraient	secure	0	0	1	1	1	1	1	0	1
complet	complete	1	1	1	1	1	1	1	0	1
respecterions	be	0	1	0	0	0	0	1	0	1
priorité	give	0	1	1	0	0	0	1	0	1
capitaux	venture	0	0	1	0	1	1	1	0	1
recueillement	silence	0	-1	-1	-1	0	1	0	-1	0
souscrivait	make	0	0	0	1	0	0	1	0	0
marchandes	market	0	0	0	1	1	1	1	0	1
marchander	bargain	0	0	1	0	1	1	1	0	1
unimodal	reveal	0	0	0	1	0	1	1	0	0
souscrivais	be	0	1	0	0	0	0	1	0	1
revalorisons	let	0	0	0	1	-1	0	1	0	0
Asiatiques	leave	0	0	0	0	0	0	1	-1	0
accède	accede	0	1	1	1	1	1	1	0	1
interromprai	cut	0	0	0	-1	0	0	1	0	0
Manzella	group	0	0	0	1	1	0	1	0	1
francophone	cause	-1	-1	0	0	0	-1	0	0	0
rit	laugh	0	0	0	0	0	-1	1	0	1
sauveteurs	rescue	1	1	1	1	1	1	1	1	1
fonctionnerait	work	1	1	1	1	0	1	1	0	1
laissez-faire	function	0	1	0	1	1	1	1	0	0
boxes	keep	1	1	1	0	1	1	1	1	1
Faites	do	1	1	1	0	0	1	1	0	1
habilitées	entitle	1	1	0	1	0	1	1	1	0
nécessitera	require	0	1	1	0	1	1	1	0	0
embarrassante	embarrass	0	-1	0	-1	0	1	0	-1	0
hôtelier	provide	1	1	1	1	1	1	1	0	1
mirages	remind	1	1	1	1	0	1	1	0	0
discutaient	have	1	1	1	0	0	1	1	0	1
bruyant	amaze	0	-1	0	-1	0	1	0	-1	0
entraveraient	hinder	0	-1	0	-1	0	1	0	-1	0
soutient	support	1	1	1	1	0	1	1	1	1
harmonise	bring	0	0	1	1	0	0	1	0	0
réadaptée	be	0	1	0	0	0	0	1	0	1
embarrassants	embarrass	0	-1	0	-1	0	1	0	-1	0
apprendront	learn	1	1	1	0	1	1	1	0	1
envahissant	invade	0	0	0	-1	1	1	1	-1	1
apprendrons	learn	1	1	1	0	1	1	1	0	1
dépassions	exceed	0	0	0	0	0	0	1	0	0
proscrits	ban	0	-1	-1	-1	0	1	1	0	0
monarchique	sort	0	0	0	1	0	1	1	0	0
mènent	lead	0	1	1	1	1	0	1	0	1
proscrite	outlaw	-1	1	-1	-1	1	1	1	0	1
défassions	stop	0	0	0	-1	1	1	1	-1	0
armer	arm	0	0	0	-1	0	1	0	-1	0
OHR	provide	1	1	1	1	1	1	1	0	1
internationalisent	become	0	0	0	0	0	0	1	0	0
continuelles	continue	1	1	1	1	1	0	1	0	1
D	stand	0	1	1	0	1	0	1	0	0
Setubal	happen	0	0	0	0	0	0	-1	0	0
Maerlantd	build	1	1	1	1	1	1	1	0	1
magistrature	court	1	1	1	1	1	1	1	1	1
calmées	down	0	0	0	0	0	0	1	0	0
licencie	be	0	1	0	0	0	0	1	0	1
bande	strip	0	0	0	-1	0	1	1	0	0
abroger	repeal	1	1	0	-1	1	1	1	0	1
bâtie	build	1	1	1	1	1	1	1	0	1
Rothley	have	1	1	1	0	0	1	1	0	1
bâtit	build	1	1	1	1	1	1	1	0	1
visionné	view	0	0	0	1	0	1	1	0	0
bâtir	build	1	1	1	1	1	1	1	0	1
bâtis	build	1	1	1	1	1	1	1	0	1
déconcerté	take	1	1	1	0	1	1	1	0	1
Approvisionnement	aid	1	1	1	1	0	1	1	1	1
arméniens	locate	0	1	0	1	1	1	1	0	0
disposiez	have	1	1	1	0	0	1	1	0	1
souscrivent	subscribe	0	1	1	1	1	1	1	0	1
finançaient	be	0	1	0	0	0	0	1	0	1
Rugova	freeze	0	0	0	0	0	1	0	-1	0
interdisions	ban	0	-1	-1	-1	0	1	1	0	0
réouvert	reopen	0	1	0	-1	1	1	1	0	1
renonciation	opt	1	1	1	0	1	1	1	0	1
exagérément	exaggerate	0	0	1	0	-1	1	1	0	0
durait	have	1	1	1	0	0	1	1	0	1
complétera	complement	1	1	0	1	1	1	-1	0	0
détenaient	have	1	1	1	0	0	1	1	0	1
indirect	elect	1	1	1	1	1	1	1	1	1
prescrivons	prescribe	1	1	1	1	1	1	1	0	1
harmonisé	unify	1	1	0	1	1	1	1	0	0
ici	point	0	0	0	0	1	0	1	0	0
divorcés	divorce	-1	0	-1	-1	-1	1	1	-1	-1
osiez	can	0	0	0	0	0	1	1	0	1
emmenant	take	1	1	1	0	1	1	1	0	1
dépensions	spend	0	1	0	0	0	0	1	0	0
gardées	keep	1	1	1	0	1	1	1	1	1
ratifierons	ratify	1	1	1	1	1	1	1	0	1
jonchent	litter	0	-1	1	1	0	1	-1	0	1
roumains	require	0	1	1	0	1	1	1	0	0
16,4	transfer	0	0	0	0	0	1	1	0	0
refermaient	shut	1	0	0	0	0	0	1	0	0
subordination	subject	0	0	1	1	0	1	1	0	1
médiocrement	be	0	1	0	0	0	0	1	0	1
bouchons	cap	0	0	1	0	1	0	1	0	1
quantifiée	term	1	1	0	1	1	1	0	0	0
coexister	coexist	0	1	0	0	1	1	1	0	1
échappent	escape	-1	0	-1	0	1	-1	1	0	1
antidémocratiques	force	0	0	0	-1	0	1	0	-1	0
évoquant	refer	1	1	1	1	0	1	1	1	1
contrecarre	frustrate	0	-1	0	-1	0	1	0	-1	0
convoquer	convene	0	0	1	1	1	1	1	0	1
incluait	include	1	1	1	1	1	1	1	1	0
Heidelberger	spread	-1	-1	0	1	0	-1	1	0	0
convoquez	can	0	0	0	0	0	1	1	0	1
festif	be	0	1	0	0	0	0	1	0	1
limitation	limit	0	0	0	-1	0	1	1	0	0
racaille	comment	0	0	0	0	0	1	1	0	1
perdant	lose	0	0	0	-1	-1	1	1	0	-1
apprenait	teach	0	1	1	1	1	1	1	0	1
subsidiés	subsidize	1	1	1	1	1	1	1	0	1
irrégulière	reside	0	1	1	1	1	1	1	0	1
déconcerte	baffle	0	-1	0	-1	0	1	0	-1	0
fortunés	group	0	0	0	1	1	0	1	0	1
Collègue	draw	0	0	1	1	1	1	0	0	0
sept	follow	0	0	1	1	1	1	1	0	1
planche	do	1	1	1	0	0	1	1	0	1
carotte	be	0	1	0	0	0	0	1	0	1
destination	go	0	0	0	0	0	0	1	0	0
livrées	deliver	1	1	1	1	0	1	1	0	1
normalisent	wish	1	1	1	1	1	1	1	1	1
présenterez	present	1	1	1	1	1	1	1	0	1
traduisible	translate	0	1	0	1	1	0	1	0	1
intéresserons	be	0	1	0	0	0	0	1	0	1
réels	exist	1	1	1	0	1	0	1	0	1
jeunes	age	0	0	0	-1	0	1	1	0	0
suburbains	accord	1	0	0	1	0	1	1	0	1
employables	be	0	1	0	0	0	0	1	0	1
Bangladesh	aid	1	1	1	1	0	1	1	1	1
Baldi	do	1	1	1	0	0	1	1	0	1
langage	speak	1	1	1	1	1	1	1	0	1
déconvenue	end	0	1	0	0	1	0	1	0	0
déployaient	be	0	1	0	0	0	0	1	0	1
